date (day),average_score,date (week),average_score,date (month),average_score,date (year),average_score
2020-02-01,-0.04574897959183673,,,,,,
2020-02-02,0.07041384615384616,,,,,,
2020-02-03,0.08188311688311688,,,,,,
2020-02-04,0.031659090909090915,,,,,,
2020-02-05,-0.020044886363636365,,,,,,
2020-02-06,0.008594634146341465,,,,,,
2020-02-07,-0.022243518518518513,,,,,,
2020-02-08,-0.07217402597402597,,,,,,
2020-02-09,0.0036210526315789498,,,,,,
2020-02-10,0.036788965517241375,,,,,,
2020-02-11,-0.002764150943396228,,,,,,
2020-02-12,0.04788720930232559,,,,,,
2020-02-13,0.013194146341463417,,,,,,
2020-02-14,0.012370491803278687,,,,,,
2020-02-15,-0.08484225352112676,,,,,,
2020-02-16,0.02113793103448276,,,,,,
2020-02-17,-0.0911765306122449,,,,,,
2020-02-18,-0.017148101265822783,,,,,,
2020-02-19,-0.03481437908496732,,,,,,
2020-02-20,0.05301555555555556,,,,,,
2020-02-21,-0.016104324324324328,,,,,,
2020-02-22,0.08171830985915493,,,,,,
2020-02-23,-0.04239125,,,,,,
2020-02-24,0.00039037037037037095,,,,,,
2020-02-25,0.02786428571428572,,,,,,
2020-02-26,-0.08014611111111111,,,,,,
2020-02-27,0.023333333333333334,,,,,,
2020-02-28,-0.0055333333333333345,,,,,,
2020-02-29,-0.03270425531914893,,,,,,
2020-03-01,-0.02633103448275862,,,,,,
2020-03-02,0.009885443037974683,,,,,,
2020-03-03,0.1646180790960452,,,,,,
2020-03-04,0.05886739130434782,,,,,,
2020-03-05,0.038645070422535205,,,,,,
2020-03-06,0.004244808743169398,,,,,,
2020-03-07,-0.1958675,,,,,,
2020-03-08,0.079079012345679,,,,,,
2020-03-09,-0.0921698717948718,,,,,,
2020-03-10,0.021553254437869825,,,,,,
2020-03-11,0.004738095238095239,,,,,,
2020-03-12,-0.02023723849372385,,,,,,
2020-03-13,0.0021323809523809503,,,,,,
2020-03-14,-0.0643841584158416,,,,,,
2020-03-15,0.06488217821782177,,,,,,
2020-03-16,-0.033663030303030306,,,,,,
2020-03-17,-0.021571615720524018,,,,,,
2020-03-18,0.08060561224489796,,,,,,
2020-03-19,0.031115499999999997,,,,,,
2020-03-20,-0.025453809523809524,,,,,,
2020-03-21,-0.003892,,,,,,
2020-03-22,-0.045424358974358967,,,,,,
2020-03-23,-0.06179936305732484,,,,,,
2020-03-24,-0.022070967741935482,,,,,,
2020-03-25,0.06491968911917098,,,,,,
2020-03-26,0.03812128712871287,,,,,,
2020-03-27,-0.009043478260869564,,,,,,
2020-03-28,-0.18177857142857143,,,,,,
2020-03-29,-0.116146875,,,,,,
2020-03-30,-0.020727142857142854,,,,,,
2020-03-31,0.018314201183431956,,,,,,
2020-04-01,0.028058951965065505,,,,,,
2020-04-02,-0.04501787439613526,,,,,,
2020-04-03,-0.011733846153846155,,,,,,
2020-04-04,-0.14091954022988507,,,,,,
2020-04-05,-0.09578815789473684,,,,,,
2020-04-06,-0.01876308724832215,,,,,,
2020-04-07,0.006274111675126905,,,,,,
2020-04-08,-0.0286531914893617,,,,,,
2020-04-09,0.022719289340101527,,,,,,
2020-04-10,-0.006236021505376341,,,,,,
2020-04-11,-0.08783414634146341,,,,,,
2020-04-12,-0.10614142857142857,,,,,,
2020-04-13,-0.017445810055865922,,,,,,
2020-04-14,0.014319487179487183,,,,,,
2020-04-15,0.055466502463054186,,,,,,
2020-04-16,0.02008228782287823,,,,,,
2020-04-17,0.07623238095238095,,,,,,
2020-04-18,0.0653583850931677,,,,,,
2020-04-19,-0.1497686046511628,,,,,,
2020-04-20,-0.0021551020408163263,,,,,,
2020-04-21,0.0545520202020202,,,,,,
2020-04-22,0.007692268041237114,,,,,,
2020-04-23,0.029870466321243527,,,,,,
2020-04-24,0.04286871508379888,,,,,,
2020-04-25,-0.026042105263157894,,,,,,
2020-04-26,-0.03777123287671233,,,,,,
2020-04-27,0.0689748201438849,,,,,,
2020-04-28,0.034780662983425414,,,,,,
2020-04-29,0.05728915662650602,,,,,,
2020-04-30,0.025216000000000002,,,,,,
2020-05-01,-0.002544949494949495,,,,,,
2020-05-02,-0.0442125,,,,,,
2020-05-03,0.016077464788732395,,,,,,
2020-05-04,0.058063448275862066,,,,,,
2020-05-05,0.015986516853932587,,,,,,
2020-05-06,0.059549411764705885,,,,,,
2020-05-07,0.00524672897196262,,,,,,
2020-05-08,-0.0356186170212766,,,,,,
2020-05-09,-0.12623414634146343,,,,,,
2020-05-10,-0.10929452054794521,,,,,,
2020-05-11,0.0032117241379310373,,,,,,
