date,close,adj_close,whole_song_vader,song_mean_by_sentence_vader,song_mean_by_sentence_without_0_vader,whole_song_textblob,song_by_sentence_without_0_textblob,song_bert,song_flair,,WEIGHTED_whole_song_score,WEIGHTED_mean_by_sentence_song_score,WEIGHTED_mean_without_0_by_sentence_song_score,WEIGHTED_tb_whole_song,WEIGHTED_tb_song_by_sentence,WEIGHTED_tb_song_by_sentence_without_0,WEIGHTED_bert,WEIGHTED_flair,,vader,textblob,textblob_full,vader_full
9/11/18,150.279999,138.112381,0.365087,0.060079668,0.111060161,0.056994798,0.073476774,3.13377503,-0.18235649,,0.432940263,0.068278435,0.126990589,0.060053752,0.031331882,0.079987754,3.465531153,-0.159281241,,1.096819667,1.113989972,1.028602301,1.073363014
9/18/18,151.160004,138.921158,0.369516,0.058999254,0.111265462,0.050082605,0.065981687,3.122219458,-0.149902931,,0.444181569,0.067894545,0.128584748,0.054150875,0.027308692,0.0736524,3.502010714,-0.125924124,,1.106500658,1.115749721,1.02705539,1.079701166
9/25/18,149.649994,138.189865,0.323772,0.053409859,0.09954034,0.048480547,0.06645985,3.114729049,-0.190273591,,0.37115125,0.059111117,0.111206164,0.050574759,0.029848748,0.071453891,3.498314785,-0.177580078,,1.11478737,1.126514001,1.028302811,1.073363707
10/2/18,147.630005,136.32457,0.303244,0.045773998,0.087469203,0.03613507,0.052684452,3.090691325,-0.155611849,,0.351431479,0.051711132,0.098949504,0.037176764,0.025917188,0.056453001,3.481201747,-0.142340123,,1.08699119,1.140985474,1.025154803,1.070354032
10/9/18,141.369995,130.544006,0.221769,0.034407142,0.069747522,0.050590566,0.067645587,3.027067635,-0.201542862,,0.247832373,0.038236524,0.077752839,0.050672502,0.028402722,0.06957896,3.208144838,-0.166153453,,1.109161981,1.151098485,1.022862451,1.055170079
10/16/18,141.350006,130.525482,0.16664,0.032110086,0.060440821,0.045854262,0.064040527,3.062502242,-0.185690392,,0.179920684,0.03524771,0.067094096,0.047646924,0.026604243,0.068442303,3.395277157,-0.14615958,,1.493235189,1.20162175,1.02467577,1.055750579
10/23/18,135.770004,125.372818,0.251739,0.042436114,0.078146578,0.041287592,0.058279669,3.025656698,-0.121154794,,0.279652913,0.046363397,0.086844222,0.041840735,0.026021209,0.061098216,3.355442353,-0.069232386,,1.133959004,1.1914022,1.02480422,1.066428227
10/30/18,139.559998,128.872543,0.121001,0.031464668,0.059748367,0.033840256,0.048013926,3.013728991,-0.188389329,,0.150245536,0.036638801,0.069926533,0.035770254,0.023246691,0.052323942,3.413299611,-0.157983171,,1.051259495,1.142174549,1.019838762,1.065089163
11/6/18,142.169998,131.282669,0.149543,0.030415425,0.056986454,0.03462155,0.047114742,3.01106826,-0.15062757,,0.183556519,0.035415299,0.066876345,0.036505184,0.023670009,0.051460336,3.424518198,-0.127809129,,1.06003368,1.178951552,1.019374327,1.06072757
11/13/18,140.080002,129.352768,0.204913,0.038443008,0.067661929,0.040185341,0.056172955,3.009966072,-0.191494577,,0.254964533,0.046031575,0.081665015,0.042353415,0.026902214,0.061086385,3.479322793,-0.172642325,,1.099134663,1.156882165,1.026090869,1.068467548
11/20/18,135.130005,124.781853,0.186295,0.044178255,0.076577912,0.034834244,0.050332065,3.048187716,-0.15752873,,0.233529652,0.052206566,0.091206178,0.036308675,0.02617791,0.054927247,3.489960258,-0.133131244,,1.140199543,1.17851128,1.025168582,1.075902756
11/27/18,141.350006,130.525482,0.240452,0.048794507,0.084450828,0.050279422,0.062817719,3.086991074,-0.132003471,,0.277239084,0.056472633,0.098340489,0.055705298,0.032130503,0.07118731,3.499358114,-0.103273125,,1.208660564,1.174145517,1.032527832,1.076354386
12/4/18,134.899994,124.569405,0.260505,0.049949181,0.092262619,0.062860034,0.078372268,3.174101638,-0.091446281,,0.295307729,0.056308127,0.103480755,0.066342146,0.035379202,0.084536918,3.545798386,-0.075559356,,1.217460894,1.217013381,1.031484412,1.072637575
12/11/18,133.119995,122.925743,0.223617,0.038078079,0.072693263,0.047821116,0.062312039,3.098456061,-0.186418901,,0.271971874,0.044878018,0.08284912,0.052279077,0.028801575,0.068351963,3.298360061,-0.177488456,,1.124561354,1.212602881,1.022213833,1.061300794
