song,artist,position,average,standard_deviation
Go Legend,Big Sean & Metro Boomin Featuring Travis Scott,{'2017-12-30': 67},67,0
When It Rains It Pours,Luke Combs,"{'2017-12-30': 68, '2017-12-23': 65, '2017-12-16': 56, '2017-12-09': 51, '2017-12-02': 39, '2017-11-25': 38, '2017-11-18': 37, '2017-11-11': 36, '2017-11-04': 33, '2017-10-28': 39, '2017-10-21': 40, '2017-10-14': 40, '2017-10-07': 44, '2017-09-30': 49, '2017-09-23': 48, '2017-09-16': 56, '2017-09-09': 58, '2017-09-02': 68, '2017-08-26': 80, '2017-08-19': 85}",51.5,14.78343668
Pull Up N Wreck,Big Sean & Metro Boomin Featuring 21 Savage,"{'2017-12-30': 80, '2017-11-25': 94}",87,7
Danger,Migos & Marshmello,{'2017-12-30': 82},82,0
Untouchable,YoungBoy Never Broke Again,"{'2017-12-30': 86, '2017-09-09': 96, '2017-09-02': 95}",92.33333333,4.496912521
Ghostface Killers,"21 Savage, Offset & Metro Boomin Featuring Travis Scott","{'2017-12-30': 90, '2017-12-23': 81, '2017-12-16': 75, '2017-12-09': 65, '2017-12-02': 57, '2017-11-25': 35, '2017-11-18': 57}",65.71428571,16.92600945
Faking It,Calvin Harris Featuring Kehlani & Lil Yachty,"{'2017-12-30': 100, '2017-12-23': 96, '2017-12-16': 94, '2017-12-09': 100}",97.5,2.598076211
Congratulations,Post Malone Featuring Quavo,"{'2017-12-23': 49, '2017-12-16': 45, '2017-12-09': 35, '2017-12-02': 36, '2017-11-25': 40, '2017-11-18': 40, '2017-11-11': 39, '2017-11-04': 34, '2017-10-28': 37, '2017-10-21': 35, '2017-10-14': 35, '2017-10-07': 36, '2017-09-30': 33, '2017-09-23': 24, '2017-09-16': 21, '2017-09-09': 15, '2017-09-02': 14, '2017-08-26': 14, '2017-08-19': 11, '2017-08-12': 11, '2017-08-05': 12, '2017-07-29': 11, '2017-07-22': 9, '2017-07-15': 8, '2017-07-08': 8, '2017-07-01': 9, '2017-06-24': 10, '2017-06-17': 10, '2017-06-10': 13, '2017-06-03': 13, '2017-05-27': 12, '2017-05-20': 16, '2017-05-13': 15, '2017-05-06': 15, '2017-04-29': 19, '2017-04-22': 25, '2017-04-15': 28, '2017-04-08': 30, '2017-04-01': 32, '2017-03-25': 33, '2017-03-18': 35, '2017-03-11': 36, '2017-03-04': 33, '2017-02-25': 39, '2017-02-18': 39, '2017-02-11': 58, '2017-02-04': 81, '2017-01-28': 85, '2017-01-21': 90}",29.14285714,19.12152329
Love So Soft,Kelly Clarkson,"{'2017-12-23': 79, '2017-12-16': 70, '2017-12-09': 60, '2017-12-02': 61, '2017-11-25': 57, '2017-11-18': 47, '2017-11-11': 57, '2017-11-04': 59, '2017-10-28': 70, '2017-10-21': 72, '2017-10-14': 74, '2017-10-07': 81, '2017-09-30': 62}",65.30769231,9.48184188
Transportin',Kodak Black,"{'2017-12-23': 92, '2017-12-16': 87, '2017-12-09': 82, '2017-12-02': 87, '2017-11-25': 86, '2017-11-18': 73, '2017-11-11': 66, '2017-11-04': 63, '2017-10-28': 63, '2017-10-21': 60, '2017-10-14': 62, '2017-10-07': 55, '2017-09-30': 58, '2017-09-23': 46, '2017-09-16': 55, '2017-09-09': 82}",69.8125,13.83482359
Ask Me How I Know,Garth Brooks,"{'2017-12-23': 94, '2017-12-16': 71, '2017-12-09': 76, '2017-12-02': 85, '2017-11-25': 90, '2017-11-18': 90, '2017-11-04': 98}",86.28571429,8.987519691
Bella y Sensual,Romeo Santos Featuring Nicky Jam & Daddy Yankee,{'2017-12-23': 95},95,0
Sauce It Up,Lil Uzi Vert,"{'2017-12-23': 100, '2017-12-16': 96, '2017-12-09': 88, '2017-12-02': 90, '2017-11-25': 89, '2017-11-18': 75, '2017-11-11': 74, '2017-11-04': 81, '2017-10-28': 87, '2017-10-21': 79, '2017-10-14': 79, '2017-10-07': 69, '2017-09-30': 67, '2017-09-23': 57, '2017-09-16': 49}",78.66666667,13.5826687
Rake It Up,Yo Gotti Featuring Nicki Minaj,"{'2017-12-16': 34, '2017-12-09': 27, '2017-12-02': 23, '2017-11-25': 22, '2017-11-18': 13, '2017-11-11': 19, '2017-11-04': 17, '2017-10-28': 15, '2017-10-21': 12, '2017-10-14': 9, '2017-10-07': 8, '2017-09-30': 16, '2017-09-23': 11, '2017-09-16': 13, '2017-09-09': 10, '2017-09-02': 24, '2017-08-26': 22, '2017-08-19': 26, '2017-08-12': 32, '2017-08-05': 41, '2017-07-29': 68, '2017-07-22': 78}",24.54545455,17.54404139
Praying,Kesha,"{'2017-12-16': 35, '2017-12-09': 26, '2017-12-02': 28, '2017-11-25': 28, '2017-11-18': 31, '2017-11-11': 29, '2017-11-04': 28, '2017-10-28': 28, '2017-10-21': 26, '2017-10-14': 24, '2017-10-07': 28, '2017-09-30': 25, '2017-09-23': 26, '2017-09-16': 27, '2017-09-09': 28, '2017-09-02': 22, '2017-08-26': 24, '2017-08-19': 32, '2017-08-12': 38, '2017-08-05': 40, '2017-07-29': 25}",28.47619048,4.435989691
Strip That Down,Liam Payne Featuring Quavo,"{'2017-12-16': 41, '2017-12-09': 36, '2017-12-02': 32, '2017-11-25': 32, '2017-11-18': 28, '2017-11-11': 23, '2017-11-04': 21, '2017-10-28': 16, '2017-10-21': 14, '2017-10-14': 12, '2017-10-07': 13, '2017-09-30': 12, '2017-09-23': 14, '2017-09-16': 10, '2017-09-09': 11, '2017-09-02': 13, '2017-08-26': 15, '2017-08-19': 16, '2017-08-12': 16, '2017-08-05': 25, '2017-07-29': 28, '2017-07-22': 28, '2017-07-15': 33, '2017-07-08': 34, '2017-07-01': 44, '2017-06-24': 51, '2017-06-17': 65, '2017-06-10': 42}",25.89285714,13.63121231
Do Re Mi,blackbear,"{'2017-12-16': 44, '2017-12-09': 41, '2017-12-02': 42, '2017-11-25': 41, '2017-11-18': 41, '2017-11-11': 41, '2017-11-04': 40, '2017-10-28': 45, '2017-10-21': 41, '2017-10-14': 46, '2017-10-07': 51, '2017-09-30': 50, '2017-09-23': 50, '2017-09-16': 50, '2017-09-09': 54, '2017-09-02': 63, '2017-08-26': 67, '2017-08-19': 75, '2017-06-24': 88, '2017-06-17': 95, '2017-06-10': 93, '2017-06-03': 99, '2017-05-27': 96, '2017-05-20': 92, '2017-05-13': 87}",61.28,21.47839845
Slow Hands,Niall Horan,"{'2017-12-16': 50, '2017-12-09': 40, '2017-12-02': 35, '2017-11-25': 34, '2017-11-18': 32, '2017-11-11': 24, '2017-11-04': 24, '2017-10-28': 21, '2017-10-21': 18, '2017-10-14': 13, '2017-10-07': 11, '2017-09-30': 11, '2017-09-23': 15, '2017-09-16': 15, '2017-09-09': 14, '2017-09-02': 15, '2017-08-26': 17, '2017-08-19': 15, '2017-08-12': 18, '2017-08-05': 19, '2017-07-29': 19, '2017-07-22': 22, '2017-07-15': 21, '2017-07-08': 24, '2017-07-01': 24, '2017-06-24': 28, '2017-06-17': 33, '2017-06-10': 52, '2017-06-03': 60, '2017-05-27': 52, '2017-05-20': 90}",27.93548387,17.16135096
Fix A Drink,Chris Janson,"{'2017-12-16': 90, '2017-12-09': 78, '2017-12-02': 67, '2017-11-25': 71, '2017-11-18': 67, '2017-11-11': 69, '2017-11-04': 77, '2017-10-28': 81, '2017-10-21': 82, '2017-10-14': 81, '2017-10-07': 94, '2017-09-30': 96, '2017-09-23': 95, '2017-09-02': 98}",81.85714286,10.72951299
It's Everyday Bro,Jake Paul Featuring Team 10,"{'2017-12-16': 91, '2017-06-24': 94}",92.5,1.5
Go Flex,Post Malone,"{'2017-12-16': 95, '2017-12-09': 91, '2017-12-02': 98, '2017-11-25': 96, '2017-11-18': 86, '2017-11-11': 82, '2017-11-04': 76, '2017-10-28': 88, '2017-10-21': 95, '2017-10-14': 100}",90.7,7.253275122
Total Eclipse Of The Heart,Chloe Kohanski,{'2017-12-16': 99},99,0
Perro Fiel,Shakira Featuring Nicky Jam,{'2017-12-16': 100},100,0
Awful Things,Lil Peep,{'2017-12-09': 79},79,0
Relationship,Young Thug Featuring Future,"{'2017-12-09': 81, '2017-12-02': 86, '2017-11-25': 87, '2017-11-18': 88, '2017-11-11': 81, '2017-11-04': 65, '2017-10-28': 66, '2017-10-21': 78, '2017-10-14': 87, '2017-10-07': 82, '2017-09-30': 88, '2017-09-23': 90, '2017-09-09': 98, '2017-07-08': 83}",82.85714286,8.500900312
Glorious,Macklemore Featuring Skylar Grey,"{'2017-12-09': 93, '2017-11-25': 98, '2017-11-18': 87, '2017-11-11': 71, '2017-11-04': 64, '2017-10-28': 64, '2017-10-21': 55, '2017-10-14': 49, '2017-10-07': 62, '2017-09-30': 65, '2017-09-23': 68, '2017-09-16': 69, '2017-09-09': 68, '2017-09-02': 71, '2017-08-26': 71, '2017-08-19': 76, '2017-08-12': 85, '2017-08-05': 99, '2017-07-29': 89}",73.89473684,13.79509729
Questions,Chris Brown,"{'2017-12-09': 94, '2017-12-02': 91, '2017-11-25': 78, '2017-11-18': 79, '2017-11-11': 93, '2017-11-04': 89, '2017-10-28': 89, '2017-10-21': 89, '2017-10-14': 91, '2017-10-07': 84, '2017-09-30': 89, '2017-09-23': 89, '2017-09-09': 90}",88.07692308,4.681576632
The Rest Of Our Life,Tim McGraw & Faith Hill,{'2017-12-09': 98},98,0
What Ifs,Kane Brown Featuring Lauren Alaina,"{'2017-12-02': 43, '2017-11-25': 39, '2017-11-18': 36, '2017-11-11': 33, '2017-11-04': 26, '2017-10-28': 27, '2017-10-21': 28, '2017-10-14': 31, '2017-10-07': 32, '2017-09-30': 32, '2017-09-23': 40, '2017-09-16': 40, '2017-09-09': 38, '2017-09-02': 44, '2017-08-26': 40, '2017-08-19': 48, '2017-08-12': 63, '2017-08-05': 65, '2017-07-29': 85, '2017-07-22': 79, '2017-07-15': 81, '2017-07-08': 90, '2017-07-01': 93}",49.26086957,21.46223659
XO TOUR Llif3,Lil Uzi Vert,"{'2017-12-02': 48, '2017-11-25': 45, '2017-11-18': 43, '2017-11-11': 40, '2017-11-04': 36, '2017-10-28': 35, '2017-10-21': 30, '2017-10-14': 27, '2017-10-07': 21, '2017-09-30': 20, '2017-09-23': 19, '2017-09-16': 16, '2017-09-09': 25, '2017-09-02': 18, '2017-08-26': 18, '2017-08-19': 20, '2017-08-12': 17, '2017-08-05': 16, '2017-07-29': 16, '2017-07-22': 17, '2017-07-15': 15, '2017-07-08': 12, '2017-07-01': 10, '2017-06-24': 7, '2017-06-17': 9, '2017-06-10': 9, '2017-06-03': 8, '2017-05-27': 8, '2017-05-20': 9, '2017-05-13': 9, '2017-05-06': 10, '2017-04-29': 8, '2017-04-22': 16, '2017-04-15': 49}",20.76470588,12.46184488
Something Just Like This,The Chainsmokers & Coldplay,"{'2017-12-02': 49, '2017-11-25': 42, '2017-11-18': 39, '2017-11-11': 37, '2017-11-04': 37, '2017-10-28': 34, '2017-10-21': 32, '2017-10-14': 30, '2017-10-07': 29, '2017-09-30': 27, '2017-09-23': 25, '2017-09-16': 26, '2017-09-09': 21, '2017-09-02': 19, '2017-08-26': 19, '2017-08-19': 17, '2017-08-12': 15, '2017-08-05': 15, '2017-07-29': 15, '2017-07-22': 13, '2017-07-15': 10, '2017-07-08': 9, '2017-07-01': 7, '2017-06-24': 8, '2017-06-17': 8, '2017-06-10': 8, '2017-06-03': 6, '2017-05-27': 7, '2017-05-20': 6, '2017-05-13': 6, '2017-05-06': 8, '2017-04-29': 5, '2017-04-22': 5, '2017-04-15': 3, '2017-04-08': 7, '2017-04-01': 8, '2017-03-25': 11, '2017-03-18': 5, '2017-03-11': 56}",18.56410256,13.70718485
Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,"{'2017-12-02': 50, '2017-11-25': 51, '2017-11-18': 45, '2017-11-11': 45, '2017-11-04': 47, '2017-10-28': 46, '2017-10-21': 45, '2017-10-14': 45, '2017-10-07': 46, '2017-09-30': 51, '2017-09-23': 52, '2017-09-16': 51, '2017-09-09': 51, '2017-09-02': 54, '2017-08-26': 58, '2017-08-19': 66, '2017-08-12': 74, '2017-08-05': 82, '2017-07-29': 98, '2017-07-22': 98, '2017-07-15': 94}",59.47619048,17.91944687
Call It What You Want,Taylor Swift,"{'2017-12-02': 73, '2017-11-25': 27}",50,23
Rap Saved Me,"21 Savage, Offset & Metro Boomin Featuring Quavo","{'2017-12-02': 88, '2017-11-25': 64, '2017-11-18': 74}",75.33333333,9.843215373
Gorgeous,Taylor Swift,"{'2017-12-02': 89, '2017-11-25': 85, '2017-11-18': 69, '2017-11-11': 13}",64,30.38091506
Smooth,Florida Georgia Line,"{'2017-12-02': 92, '2017-11-25': 91, '2017-11-18': 89, '2017-11-11': 91, '2017-11-04': 92, '2017-10-28': 99, '2017-10-21': 98}",93.14285714,3.522522287
Patek Water,Future & Young Thug Featuring Offset,"{'2017-12-02': 100, '2017-11-25': 97, '2017-11-18': 77, '2017-11-11': 50}",81,19.96246478
Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,"{'2017-11-25': 48, '2017-11-18': 38, '2017-11-11': 35, '2017-11-04': 31, '2017-10-28': 25, '2017-10-21': 21, '2017-10-14': 18, '2017-10-07': 12, '2017-09-30': 6, '2017-09-23': 6, '2017-09-16': 4, '2017-09-09': 2, '2017-09-02': 2, '2017-08-26': 2, '2017-08-19': 2, '2017-08-12': 2, '2017-08-05': 2, '2017-07-29': 2, '2017-07-22': 4, '2017-07-15': 3, '2017-07-08': 4}",12.80952381,14.10713783
Body Like A Back Road,Sam Hunt,"{'2017-11-25': 49, '2017-11-18': 49, '2017-11-11': 42, '2017-11-04': 39, '2017-10-28': 38, '2017-10-21': 31, '2017-10-14': 26, '2017-10-07': 24, '2017-09-30': 22, '2017-09-23': 20, '2017-09-16': 19, '2017-09-09': 13, '2017-09-02': 10, '2017-08-26': 11, '2017-08-19': 10, '2017-08-12': 10, '2017-08-05': 9, '2017-07-29': 10, '2017-07-22': 8, '2017-07-15': 12, '2017-07-08': 13, '2017-07-01': 11, '2017-06-24': 14, '2017-06-17': 14, '2017-06-10': 14, '2017-06-03': 16, '2017-05-27': 15, '2017-05-20': 15, '2017-05-13': 12, '2017-05-06': 11, '2017-04-29': 9, '2017-04-22': 6, '2017-04-15': 12, '2017-04-08': 16, '2017-04-01': 18, '2017-03-25': 17, '2017-03-18': 20, '2017-03-11': 22, '2017-03-04': 27, '2017-02-25': 21, '2017-02-18': 38}",19.34146341,11.16092871
My Choppa Hate N****s,21 Savage & Metro Boomin,"{'2017-11-25': 73, '2017-11-18': 94}",83.5,10.5
Pray,Sam Smith Featuring Logic,"{'2017-11-25': 82, '2017-10-28': 55}",68.5,13.5
Mad Stalkers,"21 Savage, Offset & Metro Boomin",{'2017-11-25': 99},99,0
Location,Khalid,"{'2017-11-18': 48, '2017-11-11': 43, '2017-11-04': 43, '2017-10-28': 41, '2017-10-21': 36, '2017-10-14': 33, '2017-10-07': 31, '2017-09-30': 28, '2017-09-23': 30, '2017-09-16': 29, '2017-09-09': 26, '2017-09-02': 27, '2017-08-26': 29, '2017-08-19': 27, '2017-08-12': 27, '2017-08-05': 24, '2017-07-29': 26, '2017-07-22': 24, '2017-07-15': 26, '2017-07-08': 30, '2017-07-01': 28, '2017-06-24': 22, '2017-06-17': 23, '2017-06-10': 21, '2017-06-03': 19, '2017-05-27': 17, '2017-05-20': 17, '2017-05-13': 16, '2017-05-06': 25, '2017-04-29': 20, '2017-04-22': 24, '2017-04-15': 24, '2017-04-08': 32, '2017-04-01': 35, '2017-03-25': 38, '2017-03-18': 51, '2017-03-11': 51, '2017-03-04': 44, '2017-02-25': 52, '2017-02-18': 60, '2017-02-11': 64, '2017-02-04': 70, '2017-01-28': 77}",33.90697674,14.38315221
Heartache On The Dance Floor,Jon Pardi,"{'2017-11-18': 92, '2017-11-11': 95, '2017-11-04': 73, '2017-10-28': 67, '2017-10-21': 61, '2017-10-14': 56, '2017-10-07': 47, '2017-09-30': 52, '2017-09-23': 56, '2017-09-16': 57, '2017-09-09': 56, '2017-09-02': 55, '2017-08-26': 54, '2017-08-19': 63, '2017-08-12': 73, '2017-08-05': 81, '2017-07-29': 96, '2017-07-22': 89}",67.94444444,15.7037583
B.E.D.,Jacquees,"{'2017-11-18': 93, '2017-11-11': 97, '2017-11-04': 86, '2017-10-28': 80, '2017-10-21': 77, '2017-10-14': 77, '2017-10-07': 73, '2017-09-30': 69, '2017-09-23': 69, '2017-09-16': 86, '2017-09-09': 75, '2017-09-02': 89, '2017-08-26': 94}",81.92307692,9.169024262
Too Hotty,"Quavo, Takeoff & Offset","{'2017-11-18': 96, '2017-11-11': 99, '2017-11-04': 91, '2017-10-28': 97}",95.75,2.947456531
All The Pretty Girls,Kenny Chesney,"{'2017-11-18': 97, '2017-11-11': 87, '2017-11-04': 79, '2017-10-28': 69, '2017-10-21': 63, '2017-10-14': 63, '2017-10-07': 68, '2017-09-30': 66, '2017-09-23': 67, '2017-09-16': 75, '2017-09-09': 76, '2017-09-02': 80, '2017-08-26': 92, '2017-08-19': 98}",77.14285714,11.77683648
More Girls Like You,Kip Moore,"{'2017-11-18': 99, '2017-11-11': 89, '2017-11-04': 66, '2017-10-28': 77, '2017-10-21': 81, '2017-10-14': 84, '2017-10-07': 83, '2017-09-30': 86, '2017-09-23': 82, '2017-09-16': 98, '2017-09-09': 89, '2017-09-02': 88}",85.16666667,8.473815879
High End,Chris Brown Featuring Future & Young Thug,"{'2017-11-18': 100, '2017-11-04': 82}",91,9
Love Galore,SZA Featuring Travis Scott,"{'2017-11-11': 48, '2017-11-04': 41, '2017-10-28': 36, '2017-10-21': 33, '2017-10-14': 32, '2017-10-07': 33, '2017-09-30': 36, '2017-09-23': 37, '2017-09-16': 36, '2017-09-09': 33, '2017-09-02': 35, '2017-08-26': 35, '2017-08-19': 37, '2017-08-12': 46, '2017-08-05': 53, '2017-07-29': 62, '2017-07-22': 71, '2017-07-15': 74, '2017-07-08': 81, '2017-07-01': 70}",46.45,15.72728521
No Cap,Future & Young Thug,{'2017-11-11': 62},62,0
Feed Me Dope,Future,{'2017-11-11': 68},68,0
Escapate Conmigo,Wisin Featuring Ozuna,"{'2017-11-11': 76, '2017-11-04': 72, '2017-10-28': 76, '2017-10-21': 76, '2017-10-14': 76, '2017-10-07': 70, '2017-09-30': 75, '2017-09-23': 74, '2017-09-16': 72, '2017-09-09': 63, '2017-09-02': 69, '2017-08-26': 68, '2017-08-19': 71, '2017-08-12': 71, '2017-08-05': 70, '2017-07-29': 72, '2017-07-22': 84, '2017-07-15': 96, '2017-07-08': 96, '2017-07-01': 89}",75.8,8.629020802
All Da Smoke,Future & Young Thug,{'2017-11-11': 77},77,0
It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko","{'2017-11-11': 79, '2017-11-04': 68, '2017-10-28': 68, '2017-10-21': 64, '2017-10-14': 66, '2017-10-07': 60, '2017-09-30': 60, '2017-09-23': 51, '2017-09-16': 48, '2017-09-09': 44, '2017-09-02': 47, '2017-08-26': 46, '2017-08-19': 53, '2017-08-12': 62, '2017-08-05': 56, '2017-07-29': 64, '2017-07-22': 63, '2017-07-15': 63, '2017-07-08': 58, '2017-07-01': 95}",60.75,11.63561343
Bedroom Floor,Liam Payne,{'2017-11-11': 98},98,0
Three,Future & Young Thug,{'2017-11-11': 100},100,0
Say You Won't Let Go,James Arthur,"{'2017-11-04': 46, '2017-10-28': 42, '2017-10-21': 37, '2017-10-14': 34, '2017-10-07': 37, '2017-09-30': 43, '2017-09-23': 39, '2017-09-16': 34, '2017-09-09': 31, '2017-09-02': 30, '2017-08-26': 27, '2017-08-19': 25, '2017-08-12': 24, '2017-08-05': 20, '2017-07-29': 21, '2017-07-22': 20, '2017-07-15': 17, '2017-07-08': 17, '2017-07-01': 12, '2017-06-24': 11, '2017-06-17': 12, '2017-06-10': 12, '2017-06-03': 11, '2017-05-27': 13, '2017-05-20': 13, '2017-05-13': 13, '2017-05-06': 17, '2017-04-29': 16, '2017-04-22': 17, '2017-04-15': 19, '2017-04-08': 22, '2017-04-01': 21, '2017-03-25': 28, '2017-03-18': 26, '2017-03-11': 28, '2017-03-04': 23, '2017-02-25': 27, '2017-02-18': 29, '2017-02-11': 31, '2017-02-04': 30, '2017-01-28': 31, '2017-01-21': 37, '2017-01-14': 50, '2017-01-07': 61}",26.22727273,11.38153136
No Promises,Cheat Codes Featuring Demi Lovato,"{'2017-11-04': 49, '2017-10-28': 93, '2017-10-21': 74, '2017-10-14': 41, '2017-10-07': 45, '2017-09-30': 45, '2017-09-23': 42, '2017-09-16': 43, '2017-09-09': 39, '2017-09-02': 43, '2017-08-26': 42, '2017-08-19': 51, '2017-08-12': 68, '2017-08-05': 68, '2017-07-29': 88, '2017-07-22': 82, '2017-07-15': 82, '2017-07-08': 77, '2017-07-01': 77, '2017-06-24': 77, '2017-06-17': 77, '2017-06-10': 74, '2017-06-03': 95}",64,18.71293438
Small Town Boy,Dustin Lynch,"{'2017-11-04': 53, '2017-10-28': 50, '2017-10-21': 43, '2017-10-14': 37, '2017-10-07': 40, '2017-09-30': 38, '2017-09-23': 41, '2017-09-16': 38, '2017-09-09': 36, '2017-09-02': 38, '2017-08-26': 38, '2017-08-19': 42, '2017-08-12': 49, '2017-08-05': 52, '2017-07-29': 54, '2017-07-22': 60, '2017-07-15': 65, '2017-07-08': 75, '2017-07-01': 76, '2017-06-24': 85}",50.5,14.33701503
Curve,Gucci Mane Featuring The Weeknd,"{'2017-11-04': 71, '2017-10-14': 92, '2017-10-07': 67}",76.66666667,10.96458947
Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean","{'2017-11-04': 94, '2017-10-28': 78, '2017-10-21': 66, '2017-10-14': 53, '2017-10-07': 43, '2017-09-30': 37, '2017-09-23': 23, '2017-09-16': 22, '2017-09-09': 22, '2017-09-02': 20, '2017-08-26': 21, '2017-08-19': 21, '2017-08-12': 23, '2017-08-05': 26, '2017-07-29': 30, '2017-07-22': 26, '2017-07-15': 57, '2017-07-08': 51}",39.61111111,21.69264824
Stunting Ain't Nuthin,Gucci Mane Featuring Slim Jxmmi & Young Dolph,{'2017-11-04': 95},95,0
They Don't Know,Jason Aldean,"{'2017-11-04': 99, '2017-10-28': 79, '2017-10-21': 67, '2017-10-14': 73, '2017-10-07': 74, '2017-09-30': 77, '2017-09-23': 76, '2017-09-16': 89, '2017-09-09': 86, '2017-09-02': 82, '2017-08-26': 89, '2017-08-19': 87}",81.5,8.490190418
Do I Make You Wanna,Billy Currington,"{'2017-11-04': 100, '2017-10-28': 100, '2017-10-21': 93, '2017-10-14': 93, '2017-10-07': 95, '2017-09-30': 90, '2017-09-23': 80, '2017-09-16': 78, '2017-09-09': 66, '2017-09-02': 62, '2017-08-26': 52, '2017-08-19': 47, '2017-08-12': 58, '2017-08-05': 57, '2017-07-29': 58, '2017-07-22': 62, '2017-07-15': 72, '2017-07-08': 93, '2017-07-01': 79}",75.52631579,17.06756981
Almost Like Praying,Lin-Manuel Miranda Featuring Artists For Puerto Rico,{'2017-10-28': 20},20,0
Loyalty.,Kendrick Lamar Featuring Rihanna,"{'2017-10-28': 48, '2017-10-21': 44, '2017-10-14': 38, '2017-10-07': 41, '2017-09-30': 39, '2017-09-23': 36, '2017-09-16': 35, '2017-09-09': 32, '2017-09-02': 31, '2017-08-26': 32, '2017-08-19': 31, '2017-08-12': 64, '2017-08-05': 62, '2017-07-29': 74, '2017-07-22': 72, '2017-07-15': 60, '2017-07-08': 69, '2017-07-01': 74, '2017-06-24': 74, '2017-06-17': 72, '2017-06-10': 70, '2017-06-03': 66, '2017-05-27': 57, '2017-05-20': 51, '2017-05-13': 33, '2017-05-06': 14}",50.73076923,17.48748496
Dear Hate,Maren Morris Featuring Vince Gill,{'2017-10-28': 91},91,0
Say A',A Boogie Wit da Hoodie,"{'2017-10-28': 94, '2017-10-21': 75}",84.5,9.5
DNA,BTS,"{'2017-10-28': 98, '2017-10-21': 87, '2017-10-14': 67, '2017-10-07': 85}",84.25,11.12148821
Redbone,Childish Gambino,"{'2017-10-21': 50, '2017-10-14': 43, '2017-10-07': 38, '2017-09-30': 31, '2017-09-23': 28, '2017-09-16': 25, '2017-09-09': 17, '2017-09-02': 16, '2017-08-26': 13, '2017-08-19': 12, '2017-08-12': 13, '2017-08-05': 13, '2017-07-29': 14, '2017-07-22': 16, '2017-07-15': 14, '2017-07-08': 14, '2017-07-01': 14, '2017-06-24': 16, '2017-06-17': 17, '2017-06-10': 22, '2017-06-03': 29, '2017-05-27': 36, '2017-05-20': 44, '2017-05-13': 45, '2017-05-06': 56, '2017-04-29': 49, '2017-04-22': 56, '2017-04-15': 54, '2017-04-08': 71, '2017-04-01': 56, '2017-03-25': 69, '2017-03-18': 83, '2017-03-04': 99, '2017-02-25': 98, '2017-02-18': 94, '2017-02-11': 76, '2017-02-04': 63, '2017-01-28': 72, '2017-01-21': 81, '2017-01-14': 87, '2017-01-07': 68}",44.19512195,27.40145938
Hi Bich,Bhad Bhabie,{'2017-10-21': 68},68,0
Undefeated,A Boogie Wit da Hoodie Featuring 21 Savage,{'2017-10-21': 84},84,0
Beast Mode,A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again,{'2017-10-21': 86},86,0
It Ain't My Fault,Brothers Osborne,"{'2017-10-21': 88, '2017-10-14': 89, '2017-10-07': 91, '2017-09-30': 94, '2017-09-23': 83, '2017-09-16': 100, '2017-09-09': 83, '2017-09-02': 79, '2017-08-26': 91, '2017-08-19': 86, '2017-08-12': 93, '2017-08-05': 94, '2017-07-22': 97, '2017-07-15': 100, '2017-07-08': 99, '2017-07-01': 100}",91.6875,6.458702946
No Such Thing As A Broken Heart,Old Dominion,"{'2017-10-21': 92, '2017-10-14': 85, '2017-10-07': 77, '2017-09-30': 68, '2017-09-23': 59, '2017-09-16': 46, '2017-09-09': 50, '2017-09-02': 50, '2017-08-26': 51, '2017-08-19': 59, '2017-08-12': 66, '2017-08-05': 64, '2017-07-29': 73, '2017-07-22': 74, '2017-07-15': 77, '2017-07-08': 80, '2017-07-01': 78, '2017-06-24': 78, '2017-06-17': 90}",69.31578947,13.54545032
Whatever You Need,Meek Mill Featuring Chris Brown & Ty Dolla $ign,"{'2017-10-21': 100, '2017-10-14': 90, '2017-10-07': 80, '2017-09-30': 76, '2017-09-23': 72, '2017-09-16': 74, '2017-09-09': 64, '2017-09-02': 61, '2017-08-26': 57, '2017-08-19': 62, '2017-08-12': 51, '2017-08-05': 89, '2017-06-24': 82}",73.69230769,13.85298977
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne","{'2017-10-14': 42, '2017-10-07': 39, '2017-09-30': 35, '2017-09-23': 29, '2017-09-16': 24, '2017-09-09': 16, '2017-09-02': 11, '2017-08-26': 10, '2017-08-19': 6, '2017-08-12': 4, '2017-08-05': 4, '2017-07-29': 3, '2017-07-22': 2, '2017-07-15': 2, '2017-07-08': 2, '2017-07-01': 2, '2017-06-24': 3, '2017-06-17': 3, '2017-06-10': 3, '2017-06-03': 3, '2017-05-27': 3, '2017-05-20': 1}",11.22727273,13.09035668
Felices Los 4,Maluma,"{'2017-10-14': 80, '2017-10-07': 72, '2017-09-30': 70, '2017-09-23': 66, '2017-09-16': 70, '2017-09-09': 61, '2017-09-02': 53, '2017-08-26': 61, '2017-08-19': 58, '2017-08-12': 56, '2017-08-05': 48, '2017-07-29': 49, '2017-07-22': 61, '2017-07-15': 66, '2017-07-08': 63, '2017-07-01': 65, '2017-06-24': 70, '2017-06-17': 70, '2017-06-10': 90, '2017-06-03': 93}",66.1,11.47126846
